STATION,NAME,DATE,PRCP,TMAX
UKM00003772,"HEATHROW, UK",06/01/1992,0,54
UKM00003772,"HEATHROW, UK",07/01/1992,0,50
UKM00003772,"HEATHROW, UK",08/01/1992,0.06,54
UKM00003772,"HEATHROW, UK",09/01/1992,0.16,
UKM00003772,"HEATHROW, UK",10/01/1992,,45
UKM00003772,"HEATHROW, UK",11/01/1992,,
UKM00003772,"HEATHROW, UK",12/01/1992,,
UKM00003772,"HEATHROW, UK",13/01/1992,,44
UKM00003772,"HEATHROW, UK",14/01/1992,,
UKM00003772,"HEATHROW, UK",15/01/1992,0,43
UKM00003772,"HEATHROW, UK",16/01/1992,0,
UKM00003772,"HEATHROW, UK",17/01/1992,,
UKM00003772,"HEATHROW, UK",18/01/1992,0,
UKM00003772,"HEATHROW, UK",19/01/1992,,
UKM00003772,"HEATHROW, UK",20/01/1992,0.02,
UKM00003772,"HEATHROW, UK",21/01/1992,0,
UKM00003772,"HEATHROW, UK",22/01/1992,0,40
UKM00003772,"HEATHROW, UK",23/01/1992,,37
UKM00003772,"HEATHROW, UK",24/01/1992,0,
UKM00003772,"HEATHROW, UK",25/01/1992,,44
UKM00003772,"HEATHROW, UK",26/01/1992,,45
UKM00003772,"HEATHROW, UK",27/01/1992,0,43
UKM00003772,"HEATHROW, UK",28/01/1992,0,
UKM00003772,"HEATHROW, UK",29/01/1992,0,
UKM00003772,"HEATHROW, UK",30/01/1992,,
UKM00003772,"HEATHROW, UK",31/01/1992,0,40
UKM00003772,"HEATHROW, UK",01/02/1992,,36
UKM00003772,"HEATHROW, UK",02/02/1992,0,
UKM00003772,"HEATHROW, UK",03/02/1992,0.05,
UKM00003772,"HEATHROW, UK",04/02/1992,,56
UKM00003772,"HEATHROW, UK",05/02/1992,,
UKM00003772,"HEATHROW, UK",06/02/1992,0,50
UKM00003772,"HEATHROW, UK",07/02/1992,0,49
UKM00003772,"HEATHROW, UK",08/02/1992,,51
UKM00003772,"HEATHROW, UK",09/02/1992,,51
UKM00003772,"HEATHROW, UK",10/02/1992,0.01,48
UKM00003772,"HEATHROW, UK",11/02/1992,0.32,50
UKM00003772,"HEATHROW, UK",12/02/1992,0.12,55
UKM00003772,"HEATHROW, UK",13/02/1992,0.01,
UKM00003772,"HEATHROW, UK",14/02/1992,,
UKM00003772,"HEATHROW, UK",15/02/1992,0.06,
UKM00003772,"HEATHROW, UK",16/02/1992,,45
UKM00003772,"HEATHROW, UK",17/02/1992,0,44
UKM00003772,"HEATHROW, UK",18/02/1992,0,
UKM00003772,"HEATHROW, UK",19/02/1992,0,39
UKM00003772,"HEATHROW, UK",20/02/1992,0,
UKM00003772,"HEATHROW, UK",21/02/1992,0,46
UKM00003772,"HEATHROW, UK",22/02/1992,,
UKM00003772,"HEATHROW, UK",23/02/1992,0,52
UKM00003772,"HEATHROW, UK",24/02/1992,0,
UKM00003772,"HEATHROW, UK",25/02/1992,,44
UKM00003772,"HEATHROW, UK",26/02/1992,0,54
UKM00003772,"HEATHROW, UK",27/02/1992,0,58
UKM00003772,"HEATHROW, UK",28/02/1992,0.08,
UKM00003772,"HEATHROW, UK",29/02/1992,,58
UKM00003772,"HEATHROW, UK",01/03/1992,,50
UKM00003772,"HEATHROW, UK",02/03/1992,,51
UKM00003772,"HEATHROW, UK",03/03/1992,0.01,54
UKM00003772,"HEATHROW, UK",04/03/1992,,
UKM00003772,"HEATHROW, UK",05/03/1992,,53
UKM00003772,"HEATHROW, UK",06/03/1992,,57
UKM00003772,"HEATHROW, UK",07/03/1992,,54
UKM00003772,"HEATHROW, UK",08/03/1992,,51
UKM00003772,"HEATHROW, UK",09/03/1992,,54
UKM00003772,"HEATHROW, UK",10/03/1992,0.16,56
UKM00003772,"HEATHROW, UK",11/03/1992,0,50
UKM00003772,"HEATHROW, UK",12/03/1992,0.02,52
UKM00003772,"HEATHROW, UK",13/03/1992,,56
UKM00003772,"HEATHROW, UK",14/03/1992,0.01,50
UKM00003772,"HEATHROW, UK",15/03/1992,0.03,56
UKM00003772,"HEATHROW, UK",16/03/1992,0.02,
UKM00003772,"HEATHROW, UK",17/03/1992,0,56
UKM00003772,"HEATHROW, UK",18/03/1992,,58
UKM00003772,"HEATHROW, UK",19/03/1992,0,
UKM00003772,"HEATHROW, UK",20/03/1992,,
UKM00003772,"HEATHROW, UK",21/03/1992,0.02,53
UKM00003772,"HEATHROW, UK",22/03/1992,0.2,58
UKM00003772,"HEATHROW, UK",23/03/1992,0.16,49
UKM00003772,"HEATHROW, UK",24/03/1992,0.08,49
UKM00003772,"HEATHROW, UK",25/03/1992,0.06,49
UKM00003772,"HEATHROW, UK",26/03/1992,0.22,48
UKM00003772,"HEATHROW, UK",27/03/1992,0.02,47
UKM00003772,"HEATHROW, UK",28/03/1992,0.01,
UKM00003772,"HEATHROW, UK",29/03/1992,0.12,
UKM00003772,"HEATHROW, UK",30/03/1992,0.35,48
UKM00003772,"HEATHROW, UK",31/03/1992,0.03,51
UKM00003772,"HEATHROW, UK",01/04/1992,,54
UKM00003772,"HEATHROW, UK",02/04/1992,,49
UKM00003772,"HEATHROW, UK",03/04/1992,0,
UKM00003772,"HEATHROW, UK",04/04/1992,0,50
UKM00003772,"HEATHROW, UK",05/04/1992,0,56
UKM00003772,"HEATHROW, UK",06/04/1992,,47
UKM00003772,"HEATHROW, UK",07/04/1992,0.12,52
UKM00003772,"HEATHROW, UK",08/04/1992,,63
UKM00003772,"HEATHROW, UK",09/04/1992,0,63
UKM00003772,"HEATHROW, UK",10/04/1992,0,63
UKM00003772,"HEATHROW, UK",11/04/1992,0,65
UKM00003772,"HEATHROW, UK",12/04/1992,,58
UKM00003772,"HEATHROW, UK",13/04/1992,0.01,56
UKM00003772,"HEATHROW, UK",14/04/1992,,50
UKM00003772,"HEATHROW, UK",15/04/1992,0.39,49
UKM00003772,"HEATHROW, UK",16/04/1992,0.04,51
UKM00003772,"HEATHROW, UK",17/04/1992,0.2,61
UKM00003772,"HEATHROW, UK",18/04/1992,0,65
UKM00003772,"HEATHROW, UK",19/04/1992,,63
UKM00003772,"HEATHROW, UK",20/04/1992,,65
UKM00003772,"HEATHROW, UK",21/04/1992,0,63
UKM00003772,"HEATHROW, UK",22/04/1992,0,
UKM00003772,"HEATHROW, UK",23/04/1992,,
UKM00003772,"HEATHROW, UK",24/04/1992,,59
