Year,Month,Max_temperature,Min_temperature,Precipitation
1909,12,7.3,1.9,9
1910,1,6.7,1.6,9
1910,2,8.6,2.8,4
1910,3,10.6,1.9,10
1910,4,11.8,4.2,3
1910,5,16.5,7.3,1
1910,6,19.9,11.3,0
1910,7,18.3,11.1,0
1910,8,19.5,12,0
1910,9,17.1,9.1,0
1910,10,14.2,8.5,0
1910,11,6.9,0.4,17
1910,12,8.8,4.7,1
1911,1,6.3,1.3,9
1911,2,8,2.4,6
1911,3,8.5,2.7,2
1911,4,12.2,4.2,6
1911,5,18.6,8.4,0
1911,6,20.1,10.5,0
1911,7,26.1,13.1,0
1911,8,24.9,14,0
1911,9,21.4,9.4,0
1911,10,13.4,6.7,1
1911,11,9.3,3.6,4
1911,12,9.1,4.6,1
1912,1,6.8,1.7,9
1912,2,8.8,3.7,6
1912,3,10.8,5,0
1912,4,14.7,3.8,2
1912,5,17.5,8.8,0
1912,6,18.6,10.2,0
1912,7,21.1,12.5,0
1912,8,17.1,10,0
1912,9,15.2,7.7,0
1912,10,13.3,3.9,7
1912,11,9.2,4.1,3
1912,12,10.1,5,1
1913,1,7.6,3,5
1913,2,7.8,1.9,9
1913,3,10.4,3.3,4
1913,4,12.2,4.7,1
1913,5,17,7.8,0
1913,6,19.9,10,0
1913,7,19.6,11.4,0
1913,8,21,11.1,0
1913,9,18.6,10.8,0
1913,10,15,8.5,1
1913,11,11.9,5.7,2
1913,12,7.5,2.8,10
1914,1,6,1.2,13
1914,2,10.4,3.8,2
1914,3,10.1,3.3,6
1914,4,15.9,4.7,0
1914,5,16.6,6.4,2
1914,6,20.8,10,0
1914,7,20.9,12.2,0
1914,8,21.8,12.1,0
1914,9,19.5,8.3,0
1914,10,14.6,7.2,0
1914,11,10.2,4,6
1914,12,8,2.6,6
1915,1,6.5,2.2,6
1915,2,7.9,1.9,7
1915,3,9.3,1.8,11
1915,4,12.9,3.5,1
1915,5,17.1,6.4,0
1915,6,20.6,9.5,0
1915,7,19.7,11.3,0
1915,8,20.8,12.2,0
1915,9,18.8,8.6,0
1915,10,12.7,6.3,2
1915,11,6.9,0.1,15
1915,12,9,3.5,6
1916,1,10.3,5.1,0
1916,2,6.5,1.1,10
1916,3,6.5,1.1,9
1916,4,13.9,4.3,1
1916,5,17.3,7.6,0
1916,6,15.9,8.1,0
1916,7,20.9,11,0
1916,8,21.8,12.6,0
1916,9,17.6,9,0
1916,10,14.6,8.2,2
1916,11,9.4,3.8,4
1916,12,4.1,-0.6,18
1917,1,3.2,0.1,18
1917,2,4.3,-1.4,16
1917,3,6.9,0,15
1917,4,10.5,1.8,11
1917,5,19.5,8.2,0
1917,6,21.4,10.8,0
1917,7,21.1,11.9,0
1917,8,19,12.7,0
1917,9,18.7,10.8,0
1917,10,12.2,4,1
1917,11,10.6,5.3,2
1917,12,4.7,-0.7,18
1918,1,6.4,1.3,13
1918,2,9.2,3.9,5
1918,3,10.9,2.1,7
1918,4,10.5,3.6,2
1918,5,19.1,8,0
1918,6,18.9,8.5,0
1918,7,20.8,11.7,0
1918,8,21.1,12,0
1918,9,16.1,9,0
1918,10,12.6,6.4,0
1918,11,9.2,2.1,11
1918,12,9.9,5,2
1919,1,5.2,0.6,12
1919,2,4.3,-1,15
1919,3,7.5,1,11
1919,4,11.8,3.3,7
1919,5,19.5,7.8,0
1919,6,20.4,9.7,0
